metier,present,dans_cdc,types,chemins
3d,oui,non,"frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/3d/index.js; Dihya/frontend/src/tests/integration/3d/test_3d.js; Dihya/frontend/src/generation/templates/3d/template.js; Dihya/backend/tests/integration/3d/test_3d_backend.py; Dihya/backend/django/tests/integration/3d/test_3d_django.py; Dihya/backend/django/app/tests/integration/3d/test_3d_django.py; Dihya/backend/django/app/templates/3d/template.py; Dihya/backend/django/app/routes/3d/routes.py; Dihya/backend/django/routes/3d/routes.py; Dihya/backend/flask/tests/integration/3d/test_3d_flask.py; Dihya/backend/flask/app/tests/integration/3d/test_3d_flask.py; Dihya/backend/flask/app/templates/3d/template.py; Dihya/backend/flask/app/routes/3d/routes.py; Dihya/backend/flask/routes/3d/routes.py; Dihya/backend/routes/3d/routes.py; Dihya/backend/node/tests/integration/3d/test_3d.js; Dihya/backend/node/app/tests/integration/3d/test_3d.js; Dihya/backend/node/app/templates/3d/template.js; Dihya/backend/node/app/routes/3d/routes.js; Dihya/backend/node/routes/3d/routes.js; Dihya/node/app/templates/3d/template.js; Dihya/docs/metiers/3d.md; src/generation/templates/3d/template.js; docs/metiers/3d.md
___,non,oui,,
__accessibilité_et_internationalisation,non,oui,,
__api_restful_et_documentation_swagger/openapi,non,oui,,
__automatisation_de_tâches_métiers,non,oui,,
__déploiement_dockerisé_et_scalable,non,oui,,
__tests__,oui,non,"dossier,test",Dihya/backend/node/app/tests/integration/__tests__; Dihya/backend/node/app/tests/integration/__tests__/test_fixtures_assets.test.js
administration_publique,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/administration_publique; Dihya/frontend/src/components/metiers/administration_publique/index.js; Dihya/frontend/src/tests/integration/administration_publique; Dihya/frontend/src/tests/integration/administration_publique/test_administration_publique.js; Dihya/frontend/src/generation/templates/administration_publique; Dihya/frontend/src/generation/templates/administration_publique/template.js; Dihya/backend/tests/integration/administration_publique; Dihya/backend/tests/integration/administration_publique/test_administration_publique_backend.py; Dihya/backend/django/tests/integration/administration_publique; Dihya/backend/django/tests/integration/administration_publique/test_administration_publique_django.py; Dihya/backend/django/app/tests/integration/administration_publique; Dihya/backend/django/app/tests/integration/administration_publique/test_administration_publique_django.py; Dihya/backend/django/app/templates/administration_publique; Dihya/backend/django/app/templates/administration_publique/template.py; Dihya/backend/django/app/routes/administration_publique; Dihya/backend/django/app/routes/administration_publique/routes.py; Dihya/backend/django/routes/administration_publique; Dihya/backend/django/routes/administration_publique/routes.py; Dihya/backend/flask/tests/integration/administration_publique; Dihya/backend/flask/tests/integration/administration_publique/test_administration_publique_flask.py; Dihya/backend/flask/app/tests/integration/administration_publique; Dihya/backend/flask/app/tests/integration/administration_publique/test_administration_publique_flask.py; Dihya/backend/flask/app/templates/administration_publique; Dihya/backend/flask/app/templates/administration_publique/template.py; Dihya/backend/flask/app/routes/administration_publique; Dihya/backend/flask/app/routes/administration_publique/routes.py; Dihya/backend/flask/routes/administration_publique; Dihya/backend/flask/routes/administration_publique/routes.py; Dihya/backend/routes/administration_publique; Dihya/backend/routes/administration_publique/routes.py; Dihya/backend/node/tests/integration/administration_publique; Dihya/backend/node/tests/integration/administration_publique/test_administration_publique.js; Dihya/backend/node/app/tests/integration/administration_publique; Dihya/backend/node/app/tests/integration/administration_publique/test_administration_publique.js; Dihya/backend/node/app/templates/administration_publique; Dihya/backend/node/app/templates/administration_publique/template.js; Dihya/backend/node/app/routes/administration_publique; Dihya/backend/node/app/routes/administration_publique/routes.js; Dihya/backend/node/routes/administration_publique; Dihya/backend/node/routes/administration_publique/routes.js; Dihya/docs/metiers/administration_publique.md; src/components/metiers/administration_publique; src/generation/templates/administration_publique; src/generation/templates/administration_publique/template.js; docs/metiers/administration_publique.md
agriculture,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/agriculture; Dihya/frontend/src/components/metiers/agriculture/index.js; Dihya/frontend/src/tests/integration/agriculture; Dihya/frontend/src/tests/integration/agriculture/test_agriculture.js; Dihya/frontend/src/generation/templates/agriculture; Dihya/frontend/src/generation/templates/agriculture/template.js; Dihya/backend/tests/integration/agriculture; Dihya/backend/tests/integration/agriculture/test_agriculture_backend.py; Dihya/backend/django/tests/integration/agriculture; Dihya/backend/django/tests/integration/agriculture/test_agriculture_django.py; Dihya/backend/django/app/tests/integration/agriculture; Dihya/backend/django/app/tests/integration/agriculture/test_agriculture_django.py; Dihya/backend/django/app/templates/agriculture; Dihya/backend/django/app/templates/agriculture/template.py; Dihya/backend/django/app/routes/agriculture; Dihya/backend/django/app/routes/agriculture/routes.py; Dihya/backend/django/routes/agriculture; Dihya/backend/django/routes/agriculture/routes.py; Dihya/backend/flask/tests/integration/agriculture; Dihya/backend/flask/tests/integration/agriculture/test_agriculture_flask.py; Dihya/backend/flask/app/tests/integration/agriculture; Dihya/backend/flask/app/tests/integration/agriculture/test_agriculture_flask.py; Dihya/backend/flask/app/templates/agriculture; Dihya/backend/flask/app/templates/agriculture/template.py; Dihya/backend/flask/app/routes/agriculture; Dihya/backend/flask/app/routes/agriculture/routes.py; Dihya/backend/flask/routes/agriculture; Dihya/backend/flask/routes/agriculture/routes.py; Dihya/backend/routes/agriculture; Dihya/backend/routes/agriculture/routes.py; Dihya/backend/node/tests/integration/agriculture; Dihya/backend/node/tests/integration/agriculture/test_agriculture.js; Dihya/backend/node/app/tests/integration/agriculture; Dihya/backend/node/app/tests/integration/agriculture/test_agriculture.js; Dihya/backend/node/app/templates/agriculture; Dihya/backend/node/app/templates/agriculture/template.js; Dihya/backend/node/app/routes/agriculture; Dihya/backend/node/app/routes/agriculture/routes.js; Dihya/backend/node/routes/agriculture; Dihya/backend/node/routes/agriculture/routes.js; Dihya/docs/metiers/agriculture.md; src/components/metiers/agriculture; src/generation/templates/agriculture; src/generation/templates/agriculture/template.js; docs/metiers/agriculture.md
analytics,oui,non,"dossier,plugin",Dihya/frontend/src/plugins/analytics; Dihya/frontend/src/plugins/analytics/README.md; Dihya/frontend/src/plugins/analytics/analyticsPlugin.js
